data,subject,clip,label,onset_frame,apex_frame,offset_frame,onset_frame_path,apex_frame_path,offset_frame_path,data_sub
smic,20,s20_ne_01,0,17581039,17581044,17581055,smic/HS_long/SMIC_HS_E/s20/s20_ne_01/image17581039.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_01/image17581044.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_01/image17581055.jpg,smic_20
smic,20,s20_ne_01,0,17581039,17581045,17581055,smic/HS_long/SMIC_HS_E/s20/s20_ne_01/image17581039.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_01/image17581045.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_01/image17581055.jpg,smic_20
smic,20,s20_ne_01,0,17581039,17581047,17581055,smic/HS_long/SMIC_HS_E/s20/s20_ne_01/image17581039.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_01/image17581047.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_01/image17581055.jpg,smic_20
smic,20,s20_ne_01,0,17581039,17581048,17581055,smic/HS_long/SMIC_HS_E/s20/s20_ne_01/image17581039.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_01/image17581048.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_01/image17581055.jpg,smic_20
smic,20,s20_ne_02,0,17581713,17581727,17581744,smic/HS_long/SMIC_HS_E/s20/s20_ne_02/image17581713.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_02/image17581727.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_02/image17581744.jpg,smic_20
smic,20,s20_ne_02,0,17581713,17581728,17581744,smic/HS_long/SMIC_HS_E/s20/s20_ne_02/image17581713.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_02/image17581728.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_02/image17581744.jpg,smic_20
smic,20,s20_ne_02,0,17581713,17581730,17581744,smic/HS_long/SMIC_HS_E/s20/s20_ne_02/image17581713.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_02/image17581730.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_02/image17581744.jpg,smic_20
smic,20,s20_ne_02,0,17581713,17581731,17581744,smic/HS_long/SMIC_HS_E/s20/s20_ne_02/image17581713.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_02/image17581731.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_02/image17581744.jpg,smic_20
smic,20,s20_ne_03,0,17625391,17625407,17625424,smic/HS_long/SMIC_HS_E/s20/s20_ne_03/image17625391.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_03/image17625407.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_03/image17625424.jpg,smic_20
smic,20,s20_ne_03,0,17625391,17625408,17625424,smic/HS_long/SMIC_HS_E/s20/s20_ne_03/image17625391.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_03/image17625408.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_03/image17625424.jpg,smic_20
smic,20,s20_ne_03,0,17625391,17625410,17625424,smic/HS_long/SMIC_HS_E/s20/s20_ne_03/image17625391.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_03/image17625410.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_03/image17625424.jpg,smic_20
smic,20,s20_ne_03,0,17625391,17625411,17625424,smic/HS_long/SMIC_HS_E/s20/s20_ne_03/image17625391.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_03/image17625411.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_03/image17625424.jpg,smic_20
smic,20,s20_ne_04,0,17651135,17651144,17651157,smic/HS_long/SMIC_HS_E/s20/s20_ne_04/image17651135.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_04/image17651144.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_04/image17651157.jpg,smic_20
smic,20,s20_ne_04,0,17651135,17651145,17651157,smic/HS_long/SMIC_HS_E/s20/s20_ne_04/image17651135.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_04/image17651145.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_04/image17651157.jpg,smic_20
smic,20,s20_ne_04,0,17651135,17651147,17651157,smic/HS_long/SMIC_HS_E/s20/s20_ne_04/image17651135.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_04/image17651147.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_04/image17651157.jpg,smic_20
smic,20,s20_ne_04,0,17651135,17651148,17651157,smic/HS_long/SMIC_HS_E/s20/s20_ne_04/image17651135.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_04/image17651148.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_04/image17651157.jpg,smic_20
smic,20,s20_ne_05,0,17664393,17664406,17664423,smic/HS_long/SMIC_HS_E/s20/s20_ne_05/image17664393.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_05/image17664406.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_05/image17664423.jpg,smic_20
smic,20,s20_ne_05,0,17664393,17664407,17664423,smic/HS_long/SMIC_HS_E/s20/s20_ne_05/image17664393.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_05/image17664407.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_05/image17664423.jpg,smic_20
smic,20,s20_ne_05,0,17664393,17664409,17664423,smic/HS_long/SMIC_HS_E/s20/s20_ne_05/image17664393.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_05/image17664409.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_05/image17664423.jpg,smic_20
smic,20,s20_ne_05,0,17664393,17664410,17664423,smic/HS_long/SMIC_HS_E/s20/s20_ne_05/image17664393.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_05/image17664410.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_05/image17664423.jpg,smic_20
smic,20,s20_ne_06,0,17668815,17668822,17668835,smic/HS_long/SMIC_HS_E/s20/s20_ne_06/image17668815.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_06/image17668822.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_06/image17668835.jpg,smic_20
smic,20,s20_ne_06,0,17668815,17668823,17668835,smic/HS_long/SMIC_HS_E/s20/s20_ne_06/image17668815.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_06/image17668823.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_06/image17668835.jpg,smic_20
smic,20,s20_ne_06,0,17668815,17668825,17668835,smic/HS_long/SMIC_HS_E/s20/s20_ne_06/image17668815.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_06/image17668825.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_06/image17668835.jpg,smic_20
smic,20,s20_ne_06,0,17668815,17668826,17668835,smic/HS_long/SMIC_HS_E/s20/s20_ne_06/image17668815.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_06/image17668826.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_06/image17668835.jpg,smic_20
smic,20,s20_ne_07,0,17668953,17668963,17668969,smic/HS_long/SMIC_HS_E/s20/s20_ne_07/image17668953.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_07/image17668963.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_07/image17668969.jpg,smic_20
smic,20,s20_ne_07,0,17668953,17668964,17668969,smic/HS_long/SMIC_HS_E/s20/s20_ne_07/image17668953.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_07/image17668964.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_07/image17668969.jpg,smic_20
smic,20,s20_ne_07,0,17668953,17668966,17668969,smic/HS_long/SMIC_HS_E/s20/s20_ne_07/image17668953.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_07/image17668966.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_07/image17668969.jpg,smic_20
smic,20,s20_ne_07,0,17668953,17668967,17668969,smic/HS_long/SMIC_HS_E/s20/s20_ne_07/image17668953.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_07/image17668967.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_07/image17668969.jpg,smic_20
smic,20,s20_ne_08,0,17670640,17670654,17670684,smic/HS_long/SMIC_HS_E/s20/s20_ne_08/image17670640.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_08/image17670654.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_08/image17670684.jpg,smic_20
smic,20,s20_ne_08,0,17670640,17670655,17670684,smic/HS_long/SMIC_HS_E/s20/s20_ne_08/image17670640.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_08/image17670655.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_08/image17670684.jpg,smic_20
smic,20,s20_ne_08,0,17670640,17670657,17670684,smic/HS_long/SMIC_HS_E/s20/s20_ne_08/image17670640.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_08/image17670657.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_08/image17670684.jpg,smic_20
smic,20,s20_ne_08,0,17670640,17670658,17670684,smic/HS_long/SMIC_HS_E/s20/s20_ne_08/image17670640.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_08/image17670658.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_08/image17670684.jpg,smic_20
smic,20,s20_ne_09,0,17678517,17678537,17678552,smic/HS_long/SMIC_HS_E/s20/s20_ne_09/image17678517.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_09/image17678537.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_09/image17678552.jpg,smic_20
smic,20,s20_ne_09,0,17678517,17678538,17678552,smic/HS_long/SMIC_HS_E/s20/s20_ne_09/image17678517.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_09/image17678538.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_09/image17678552.jpg,smic_20
smic,20,s20_ne_09,0,17678517,17678540,17678552,smic/HS_long/SMIC_HS_E/s20/s20_ne_09/image17678517.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_09/image17678540.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_09/image17678552.jpg,smic_20
smic,20,s20_ne_09,0,17678517,17678541,17678552,smic/HS_long/SMIC_HS_E/s20/s20_ne_09/image17678517.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_09/image17678541.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_09/image17678552.jpg,smic_20
smic,20,s20_ne_10,0,17707991,17708005,17708009,smic/HS_long/SMIC_HS_E/s20/s20_ne_10/image17707991.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_10/image17708005.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_10/image17708009.jpg,smic_20
smic,20,s20_ne_10,0,17707991,17708006,17708009,smic/HS_long/SMIC_HS_E/s20/s20_ne_10/image17707991.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_10/image17708006.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_10/image17708009.jpg,smic_20
smic,20,s20_ne_10,0,17707991,17708008,17708009,smic/HS_long/SMIC_HS_E/s20/s20_ne_10/image17707991.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_10/image17708008.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_10/image17708009.jpg,smic_20
smic,20,s20_ne_10,0,17707991,17708009,17708009,smic/HS_long/SMIC_HS_E/s20/s20_ne_10/image17707991.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_10/image17708009.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_10/image17708009.jpg,smic_20
smic,20,s20_ne_11,0,17841447,17841463,17841478,smic/HS_long/SMIC_HS_E/s20/s20_ne_11/image17841447.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_11/image17841463.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_11/image17841478.jpg,smic_20
smic,20,s20_ne_11,0,17841447,17841464,17841478,smic/HS_long/SMIC_HS_E/s20/s20_ne_11/image17841447.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_11/image17841464.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_11/image17841478.jpg,smic_20
smic,20,s20_ne_11,0,17841447,17841466,17841478,smic/HS_long/SMIC_HS_E/s20/s20_ne_11/image17841447.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_11/image17841466.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_11/image17841478.jpg,smic_20
smic,20,s20_ne_11,0,17841447,17841467,17841478,smic/HS_long/SMIC_HS_E/s20/s20_ne_11/image17841447.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_11/image17841467.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_11/image17841478.jpg,smic_20
smic,20,s20_ne_12,0,17832772,17832792,17832809,smic/HS_long/SMIC_HS_E/s20/s20_ne_12/image17832772.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_12/image17832792.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_12/image17832809.jpg,smic_20
smic,20,s20_ne_12,0,17832772,17832793,17832809,smic/HS_long/SMIC_HS_E/s20/s20_ne_12/image17832772.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_12/image17832793.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_12/image17832809.jpg,smic_20
smic,20,s20_ne_12,0,17832772,17832795,17832809,smic/HS_long/SMIC_HS_E/s20/s20_ne_12/image17832772.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_12/image17832795.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_12/image17832809.jpg,smic_20
smic,20,s20_ne_12,0,17832772,17832796,17832809,smic/HS_long/SMIC_HS_E/s20/s20_ne_12/image17832772.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_12/image17832796.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_12/image17832809.jpg,smic_20
smic,20,s20_ne_13,0,17835887,17835905,17835924,smic/HS_long/SMIC_HS_E/s20/s20_ne_13/image17835887.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_13/image17835905.jpg,smic/HS_long/SMIC_HS_E/s20/s20_ne_13/image17835924.jpg,smic_20
